Server,UserID,ATINTradeID,ATINOrderID,OrderID,ExchangeOrderNo,ExchangeTradeID,OrderTime,ExchangeOrderTime,ExchangeTradeTime,Exchange,SecurityID,Symbol,Expiry Date,SecurityType,OptionType,Side,OrderType,Quantity,PendingQuantity,Price,StrikePrice,ClientID,ReferenceText,ManagerID,MemberID,StrategyID,CTCLID,ProductType,OpenClose,Multiplier,Pancard,TerminalInfo,AlgoID,AlgoCategory,ParticipantID,Amount,Id
Default,M13,101,110,52,0HPYSW108,93305,20190513-11:23:43:1557,20190513-11:24:08.535,20190513-11:24:12.460,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7410,0,M13,Spinmt:19049,M13,123,0,123,CCE,NONE,10,,,,0,,-74100,M13TTSIM:AM13CL CLV00220921
Default,M13,102,113,53,0HPYSW111,93310,20190513-11:23:44:1557,20190513-11:24:12.538,20190513-11:24:12.538,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7493,0,M13,Spinmt:19049,M13,123,0,123,CCE,NONE,10,,,,0,,74930,M13TTSIM:AM13CL CLX00220920
Default,A2,105,1,1,0HPYSW001,93369,20190513-11:23:45:1557,20190513-10:49:46.880,20190513-11:24:13.451,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7408,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,-74080,A2TTSIM:AM13CL CLV00220921
Default,A2,108,118,4,0HPYSW116,93394,20190513-11:23:45:1557,26825,20190513-11:24:13.632,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7490,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,74900,A2TTSIM:AM13CL CLX00220920
Default,M13,111,116,54,0HPYSW114,93429,20190513-11:23:45:1557,20190513-11:24:13.612,20190513-11:24:15.451,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7407,0,M13,Spinmt:19050,M13,123,0,123,CCE,NONE,10,,,,0,,-74070,M13TTSIM:AM13CL CLV00220921
Default,M13,112,121,55,0HPYSW119,93444,20190513-11:23:47:1557,20190513-11:24:15.569,20190513-11:24:15.573,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7490,0,M13,Spinmt:19050,M13,123,0,123,CCE,NONE,10,,,,0,,74900,M13TTSIM:AM13CL CLX00220920
Default,M13,117,127,56,0HPYSW125,93535,20190513-11:23:50:1557,20190513-11:24:18.541,20190513-11:24:19.449,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7407,0,M13,Spinmt:19051,M13,123,0,123,CCE,NONE,10,,,,0,,-74070,M13TTSIM:AM13CL CLV00220921
Default,M13,118,130,57,0HPYSW128,93542,20190513-11:23:51:1557,20190513-11:24:19.540,20190513-11:24:19.540,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7490,0,M13,Spinmt:19051,M13,123,0,123,CCE,NONE,10,,,,0,,74900,M13TTSIM:AM13CL CLX00220920
Default,M13,121,132,58,0HPYSW130,93637,20190513-11:23:54:1557,20190513-11:24:20.610,20190513-11:24:23.445,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7406,0,M13,Spinmt:19052,M13,123,0,123,CCE,NONE,10,,,,0,,-74060,M13TTSIM:AM13CL CLV00220921
Default,M13,122,134,59,0HPYSW132,93646,20190513-11:23:55:1557,20190513-11:24:23.524,20190513-11:24:23.524,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7489,0,M13,Spinmt:19052,M13,123,0,123,CCE,NONE,10,,,,0,,74890,M13TTSIM:AM13CL CLX00220920
Default,A2,147,122,5,0HPYSW120,95239,20190513-11:24:49:1557,20190513-11:24:15.661,20190513-11:25:20.538,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7399,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,-73990,A2TTSIM:AM13CL CLV00220921
Default,A2,149,159,7,0HPYSW157,95250,20190513-11:24:52:1557,20190513-11:25:20.655,20190513-11:25:20.658,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7484,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,74840,A2TTSIM:AM13CL CLX00220920
Default,M13,458,57,41,0HPYSW055,161856,20190513-12:07:29:1557,20190513-11:15:51.734,20190513-12:07:58.696,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7383,0,M13,Spinmt:19043,M13,123,0,123,CCE,NONE,10,,,,0,,73830,M13TTSIM:AM13CL CLV00220921
Default,M13,460,471,60,0HPYSW468,161895,20190513-12:07:30:1557,29450,20190513-12:07:58.962,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,1,7465,0,M13,Spinmt:19052,M13,123,0,123,CCE,NONE,10,,,,0,,-74650,M13TTSIM:AM13CL CLX00220920
Default,M13,463,473,61,0HPYSW470,162571,20190513-12:07:54:1557,20190513-12:07:59.020,20190513-12:08:33.774,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7376,0,M13,Spinmt:19053,M13,123,0,123,CCE,NONE,10,,,,0,,-73760,M13TTSIM:AM13CL CLV00220921
Default,M13,464,478,63,0HPYSW475,162578,20190513-12:08:05:1557,20190513-12:08:33.878,20190513-12:08:33.878,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7456,0,M13,Spinmt:19053,M13,123,0,123,CCE,NONE,10,,,,0,,74560,M13TTSIM:AM13CL CLX00220920
Default,M13,478,474,62,0HPYSW471,168482,20190513-12:12:46:1557,20190513-12:07:59.987,20190513-12:13:14.041,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7351,0,M13,Spinmt:19054,M13,123,0,123,CCE,NONE,10,,,,0,,73510,M13TTSIM:AM13CL CLV00220921
Default,M13,480,492,64,0HPYSW489,168495,20190513-12:12:46:1557,29766,20190513-12:13:14.158,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,1,7429,0,M13,Spinmt:19053,M13,123,0,123,CCE,NONE,10,,,,0,,-74290,M13TTSIM:AM13CL CLX00220920
Default,M13,485,494,65,0HPYSW491,172594,20190513-12:16:10:1557,20190513-12:13:14.987,20190513-12:16:39.934,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7366,0,M13,Spinmt:19055,M13,123,0,123,CCE,NONE,10,,,,0,,73660,M13TTSIM:AM13CL CLV00220921
Default,M13,487,499,67,0HPYSW496,172601,20190513-12:16:12:1557,20190513-12:16:40.060,20190513-12:16:40.060,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7444,0,M13,Spinmt:19056,M13,123,0,123,CCE,NONE,10,,,,0,,-74440,M13TTSIM:AM13CL CLX00220920
Default,M13,493,495,66,0HPYSW492,180647,20190513-12:22:53:1557,20190513-12:13:14.987,20190513-12:23:21.112,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7366,0,M13,Spinmt:19056,M13,123,0,123,CCE,NONE,10,,,,0,,-73660,M13TTSIM:AM13CL CLV00220921
Default,M13,494,508,69,0HPYSW505,180678,20190513-12:22:53:1557,20190513-12:23:21.425,20190513-12:23:21.426,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7447,0,M13,Spinmt:19056,M13,123,0,123,CCE,NONE,10,,,,0,,74470,M13TTSIM:AM13CL CLX00220920
Default,M13,495,509,70,0HPYSW506,182563,20190513-12:24:19:1557,20190513-12:23:23.388,20190513-12:24:54.102,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7368,0,M13,Spinmt:19058,M13,123,0,123,CCE,NONE,10,,,,0,,-73680,M13TTSIM:AM13CL CLV00220921
Default,M13,496,510,71,0HPYSW507,182568,20190513-12:24:26:1557,20190513-12:24:54.157,20190513-12:24:54.159,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7451,0,M13,Spinmt:19058,M13,123,0,123,CCE,NONE,10,,,,0,,74510,M13TTSIM:AM13CL CLX00220920
Default,M13,540,503,68,0HPYSW500,204220,20190513-12:43:58:1557,20190513-12:16:43.001,20190513-12:44:26.896,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7380,0,M13,Spinmt:19057,M13,123,0,123,CCE,NONE,10,,,,0,,73800,M13TTSIM:AM13CL CLV00220921
Default,M13,543,554,72,0HPYSW551,204225,20190513-12:43:59:1557,20190513-12:44:26.977,20190513-12:44:26.977,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7458,0,M13,Spinmt:19058,M13,123,0,123,CCE,NONE,10,,,,0,,-74580,M13TTSIM:AM13CL CLX00220920
Default,M13,545,556,73,0HPYSW553,204238,20190513-12:43:59:1557,31639,20190513-12:44:27.703,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7380,0,M13,Spinmt:19059,M13,123,0,123,CCE,NONE,10,,,,0,,73800,M13TTSIM:AM13CL CLV00220921
Default,M13,546,557,74,0HPYSW554,204241,20190513-12:43:59:1557,31639,20190513-12:44:27.766,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,1,7455,0,M13,Spinmt:19058,M13,123,0,123,CCE,NONE,10,,,,0,,-74550,M13TTSIM:AM13CL CLX00220920
Default,A2,547,123,6,0HPYSW121,204250,20190513-12:43:59:1557,20190513-11:24:15.670,20190513-12:44:27.862,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7380,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,73800,A2TTSIM:AM13CL CLV00220921
Default,A2,548,559,79,0HPYSW556,204253,20190513-12:44:00:1557,20190513-12:44:27.938,20190513-12:44:27.938,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7456,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,-74560,A2TTSIM:AM13CL CLX00220920
Default,M13,555,562,76,0HPYSW559,205366,20190513-12:45:10:1557,20190513-12:44:28.866,20190513-12:45:38.793,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7380,0,M13,Spinmt:19061,M13,123,0,123,CCE,NONE,10,,,,0,,73800,M13TTSIM:AM13CL CLV00220921
Default,M13,557,570,77,0HPYSW567,205379,20190513-12:45:11:1557,20190513-12:45:38.941,20190513-12:45:38.942,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7464,0,M13,Spinmt:19060,M13,123,0,123,CCE,NONE,10,,,,0,,-74640,M13TTSIM:AM13CL CLX00220920
Default,A2,567,584,94,0HPYSW581,209644,20190513-12:49:20:1557,20190513-12:49:48.561,20190513-12:50:03.073,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7414,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,74140,A2TTSIM:AM13CL CLV00220921
Default,A2,568,587,97,0HPYSW584,209661,20190513-12:49:35:1557,20190513-12:50:03.169,20190513-12:50:03.169,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7496,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,-74960,A2TTSIM:AM13CL CLX00220920
Default,M13,573,590,80,0HPYSW587,210426,20190513-12:50:06:1557,20190513-12:50:04.886,20190513-12:50:36.764,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7416,0,M13,Spinmt:19064,M13,123,0,123,CCE,NONE,10,,,,0,,74160,M13TTSIM:AM13CL CLV00220921
Default,M13,575,597,81,0HPYSW594,210435,20190513-12:50:09:1557,20190513-12:50:36.967,20190513-12:50:36.967,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7496,0,M13,Spinmt:19063,M13,123,0,123,CCE,NONE,10,,,,0,,-74960,M13TTSIM:AM13CL CLX00220920
Default,M13,585,600,82,0HPYSW596,211320,20190513-12:50:43:1557,20190513-12:50:39.776,20190513-12:51:11.783,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7411,0,M13,Spinmt:19065,M13,123,0,123,CCE,NONE,10,,,,0,,74110,M13TTSIM:AM13CL CLV00220921
Default,M13,586,608,83,0HPYSW605,211325,20190513-12:50:43:1557,20190513-12:51:11.854,20190513-12:51:11.854,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7489,0,M13,Spinmt:19063,M13,123,0,123,CCE,NONE,10,,,,0,,-74890,M13TTSIM:AM13CL CLX00220920
Default,M13,591,611,84,0HPYSW608,211814,20190513-12:51:02:1557,20190513-12:51:13.134,20190513-12:51:30.188,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7406,0,M13,Spinmt:19066,M13,123,0,123,CCE,NONE,10,,,,0,,74060,M13TTSIM:AM13CL CLV00220921
Default,M13,593,615,85,0HPYSW612,211817,20190513-12:51:02:1557,20190513-12:51:30.230,20190513-12:51:30.230,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7484,0,M13,Spinmt:19063,M13,123,0,123,CCE,NONE,10,,,,0,,-74840,M13TTSIM:AM13CL CLX00220920
Default,M13,597,588,79,0HPYSW585,211913,20190513-12:51:02:1557,20190513-12:50:04.806,20190513-12:51:34.885,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7398,0,M13,Spinmt:19063,M13,123,0,123,CCE,NONE,10,,,,0,,-73980,M13TTSIM:AM13CL CLV00220921
Default,M13,598,620,87,0HPYSW617,211934,20190513-12:51:07:1557,20190513-12:51:35.011,20190513-12:51:35.012,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7481,0,M13,Spinmt:19063,M13,123,0,123,CCE,NONE,10,,,,0,,74810,M13TTSIM:AM13CL CLX00220920
Default,M13,600,617,86,0HPYSW614,211946,20190513-12:51:07:1557,20190513-12:51:30.964,20190513-12:51:35.157,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7401,0,M13,Spinmt:19067,M13,123,0,123,CCE,NONE,10,,,,0,,74010,M13TTSIM:AM13CL CLV00220921
Default,M13,602,623,88,0HPYSW620,211949,20190513-12:51:07:1557,20190513-12:51:35.219,20190513-12:51:35.220,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7478,0,M13,Spinmt:19063,M13,123,0,123,CCE,NONE,10,,,,0,,-74780,M13TTSIM:AM13CL CLX00220920
Default,M13,603,624,89,0HPYSW621,211970,20190513-12:51:08:1557,20190513-12:51:35.998,20190513-12:51:35.998,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7401,0,M13,Spinmt:19068,M13,123,0,123,CCE,NONE,10,,,,0,,74010,M13TTSIM:AM13CL CLV00220921
Default,M13,604,626,91,0HPYSW623,211971,20190513-12:51:08:1557,20190513-12:51:36.077,20190513-12:51:36.078,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7478,0,M13,Spinmt:19069,M13,123,0,123,CCE,NONE,10,,,,0,,-74780,M13TTSIM:AM13CL CLX00220920
Default,M13,607,629,92,0HPYSW626,212014,20190513-12:51:10:1557,32070,20190513-12:51:37.923,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7401,0,M13,Spinmt:19070,M13,123,0,123,CCE,NONE,10,,,,0,,74010,M13TTSIM:AM13CL CLV00220921
Default,M13,608,630,93,0HPYSW627,212021,20190513-12:51:10:1557,32070,20190513-12:51:37.980,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,1,7478,0,M13,Spinmt:19069,M13,123,0,123,CCE,NONE,10,,,,0,,-74780,M13TTSIM:AM13CL CLX00220920
Default,M13,611,633,94,0HPYSW630,212070,20190513-12:51:11:1557,20190513-12:51:39.116,20190513-12:51:39.117,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7401,0,M13,Spinmt:19071,M13,123,0,123,CCE,NONE,10,,,,0,,74010,M13TTSIM:AM13CL CLV00220921
Default,M13,612,634,95,0HPYSW631,212071,20190513-12:51:11:1557,20190513-12:51:39.188,20190513-12:51:39.189,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7478,0,M13,Spinmt:19069,M13,123,0,123,CCE,NONE,10,,,,0,,-74780,M13TTSIM:AM13CL CLX00220920
Default,M13,622,637,96,0HPYSW634,213572,20190513-12:52:06:1557,20190513-12:51:41.169,20190513-12:52:34.889,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7392,0,M13,Spinmt:19072,M13,123,0,123,CCE,NONE,10,,,,0,,73920,M13TTSIM:AM13CL CLV00220921
Default,M13,624,646,97,0HPYSW643,213589,20190513-12:52:07:1557,20190513-12:52:35.018,20190513-12:52:35.018,TTSIM:A,CL CLZ0,CL CLZ0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7474,0,M13,Spinmt:19069,M13,123,0,123,CCE,NONE,10,,,,0,,-74740,M13TTSIM:AM13CL CLZ00220920
Default,M13,719,625,90,0HPYSW622,227337,20190513-13:00:59:1557,20190513-12:51:36.016,20190513-13:01:32.128,TTSIM:A,CL CLM0,CL CLM0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7404,0,M13,Spinmt:19069,M13,123,0,123,CCE,NONE,10,,,,0,,-74040,M13TTSIM:AM13CL CLM00220921
Default,A3,721,583,93,0HPYSW580,227945,20190513-13:01:29:1557,20190513-12:49:48.559,20190513-13:01:57.173,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7402,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,-74020,A3TTSIM:AM13CL CLV00220921
